Brand_Id,P_Id,Name,Price,Colour,Brand_Name,Ratingcount,Avg_Rating,Description,Occasion,Pattern,Print or Pattern Type,Fabric,Wash Care,Sustainable,Body or Garment Size,Closure,Length,Number of Pockets
750.0,5829334,Roadster Women Mustard Yellow Solid Hooded Sweatshirt,1199.0,Mustard,Roadster,5462,4.3,mustard yellow solid sweatshirt hood two pockets long sleeves zip closure straight hemthe model height wearing size cotton machine wash,Casual,Solid,Solid,Cotton,Machine Wash,NA,To-Fit Denotes Body Measurements in,Zip,Regular,2
750.0,11489658,Roadster Women Blue Washed Regular Fit Denim Shorts,999.0,Blue,Roadster,472,4.3,blue washed mid rise denim shorts pockets button closure zip fly frayed hemsregular fit model height wearing size cotton elastane machine wash,Casual,Washed,Washed,Cotton,Machine Wash,NA,To-Fit Denotes Body Measurements in,Button,Above Knee,5
750.0,11697268,Roadster Women White Solid Round Neck Boxy Cropped Top,499.0,White,Roadster,3106,4.3,white printed detail boxy cropped top round neck short sleevesthe model height wearing size smaterial cotton machine wash,Casual,Solid,Typography,Pure Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,NA,Crop,NA
750.0,12178124,Roadster Women Blue Washed Denim Jacket,1999.0,Blue,Roadster,1211,4.5,blue washed jacket spread collar pockets button closure long sleeves straight hem cotton machine washthe model height wearing size,Casual,Solid,Solid,Cotton,Machine Wash,NA,To-Fit Denotes Body Measurements in,Button,Regular,4
750.0,5829327,Roadster Women Coral Pink Solid Hooded Sweatshirt,1199.0,Coral,Roadster,13938,4.2,coral pink solid sweatshirt attached hood two pockets long sleeves zip closure straight hemthe model height wearing size scotton blend machine wash,Casual,Solid,Solid,Cotton,Machine Wash,NA,To-Fit Denotes Body Measurements in,Zip,Regular,2
750.0,8593785,Roadster Burgundy Top With Front Tie-Up Detail,599.0,Maroon,Roadster,5097,3.6,burgundy solid knitted regular top waist tie ups stylish scoop neck sleeves mock button detailthe model height wearing size cotton polyester machine wash,Casual,Solid,Solid,NA,Machine Wash,Regular,To-Fit Denotes Body Measurements in,NA,Crop,NA
750.0,13757350,Roadster Women Charcoal Grey Loose Fit High-Rise Denim Shorts,1299.0,Charcoal,Roadster,240,4.3,charcoal grey solid mid rise denim shorts pockets button closure cotton polyester machine washloose fit model height wearing size,Casual,Solid,Solid,Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Button,Above Knee,4
750.0,2322605,Roadster Time Travlr Women Blue Boyfriend Fit Mid-Rise Low Distress Jeans,2299.0,Blue,Roadster,1103,3.9,blue medium wash pocket mid rise jeans mildly distress light fade button zip closure waistband belt loops cotton machine washboyfriend fit model height wearing size,Casual,NA,NA,Cotton,Machine Wash,NA,To-Fit Denotes Body Measurements in,Button and Zip,Cropped,5
750.0,12279352,Roadster Women Blue Washed Denim Trucker Jacket,1599.0,Blue,Roadster,1112,4.5,blue washed denim trucker jacket spread collar pockets button closure long sleeves straight hem unlined mock pocketsmaterial cotton machine washthe model height wearing size,Casual,Solid,Washed,Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Button,Regular,2
750.0,11991214,Roadster Women Mustard Yellow Solid Hooded Sweatshirt,1199.0,Mustard,Roadster,273,4.2,mustard yellow solid sweatshirt hood two pockets long sleeves zip closure ribbed hemmaterial cotton polyester machine washthe model height wearing size,Casual,Solid,Solid,Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Zip,Regular,2
750.0,17640612,Roadster Women Blue Slim Tapered Fit Low Distress Light Fade Stretchable Jeans,3299.0,Blue,Roadster,0,0.0,blue medium wash jeans low distress light fade button zip closure waistband belt loopsfit slim tapered fit stretchable size worn model waist hips height cotton elastane machine wash,Casual,NA,NA,Cotton,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Button and Zip,Regular,5
750.0,12178108,Roadster Women Blue Washed Denim Jacket,2299.0,Blue,Roadster,602,4.5,blue washed jacket spread collar pockets button closure long sleeves straight hemthe model height wearing size cotton machine wash,Casual,Solid,Washed,Cotton,Machine Wash,NA,To-Fit Denotes Body Measurements in,Button,Regular,4
750.0,9477715,The Roadster Lifestyle Co Women Black Solid Sweatshirt,1299.0,Black,Roadster,789,4.2,black solid sweatshirt turtle neck long sleeves one kangaroo pocketthe model height wearing size cotton polyester machine wash,Casual,Solid,Solid,Cotton,Machine Wash,NA,To-Fit Denotes Body Measurements in,NA,Regular,1
750.0,11688420,Roadster Women Blue Washed Regular Fit Denim Shorts,1399.0,Blue,Roadster,222,4.4,blue washed mid rise denim shorts pockets button closure cotton elastane machine washregular fit model height wearing size,Casual,Washed,Washed,Cotton,Machine Wash,NA,To-Fit Denotes Body Measurements in,Button,Above Knee,5
750.0,2319517,Roadster Women Blue Skinny Fit Mid-Rise Clean Look Stretchable Cropped Jeans,1699.0,Blue,Roadster,2706,4.1,blue medium wash pocket mid rise jeans clean look light fade button zip closure waistband belt loops cotton elastane machine washskinny fit stretchable model height wearing size,Casual,NA,NA,Cotton,Machine Wash,NA,To-Fit Denotes Body Measurements in,Button and Zip,Cropped,5
750.0,11991426,Roadster Women Mustard Brown Fleece Solid Hooded Sweatshirt,1299.0,Mustard,Roadster,886,4.3,mustard brown solid sweatshirt hood one kangaroo pocket long sleeves ribbed hem fleece liningthe model height wearing size smaterial cotton polyester machine wash,Casual,Solid,Solid,Cotton,Machine Wash,NA,To-Fit Denotes Body Measurements in,NA,Regular,1
