P_Id,Pattern
5829334,Solid
11489658,Washed
11697268,Solid
12178124,Solid
5829327,Solid
8593785,Solid
13757350,Solid
2322605,NA
12279352,Solid
11991214,Solid
17640612,NA
12178108,Solid
9477715,Solid
11688420,Washed
2319517,NA
11991426,Solid
11489530,Washed
15202916,Solid
16835110,NA
16835204,NA
14332328,Printed
12279300,Solid
12278652,NA
13298978,Solid
11991442,Solid
8803831,NA
2319515,NA
13346740,Solid
16835178,NA
13710708,NA
13315186,NA
12712588,Checked
12069736,Washed
11531732,NA
14331986,Colourblocked
14331424,Ribbed
13339532,NA
14356160,Solid
14535816,Self Design
14535756,Solid
16835312,NA
5447351,Striped
14535940,Self Design
12069738,Washed
13710342,NA
11541604,NA
14331606,Ribbed
14094106,NA
14536032,Solid
15333114,Solid
9478873,Solid
15333126,Solid
9478817,Solid
14535772,Solid
17358398,Solid
14954474,Solid
14535820,Solid
14535860,Self Design
13601350,Striped
14535802,Self Design
14535748,Solid
16835242,NA
11991456,Solid
13334362,Printed
14535914,Solid
14332396,Solid
10336797,Solid
14331596,Solid
18456166,NA
14356146,Solid
15441312,Solid
14332392,Solid
13611318,Self Design
14535898,Solid
15089126,Solid
9478497,Solid
15773220,Solid
10336795,Solid
14535744,Solid
15773294,Solid
16835136,NA
14355478,Solid
9901971,Solid
15441284,Solid
14355474,Checked
11688430,Washed
14331672,Striped
13723010,Self Design
9477945,Solid
11021020,Solid
15088844,Solid
15441200,Solid
15773602,NA
14935148,Solid
17085456,NA
15049028,Checked
11541726,Solid
13269686,Solid
4451422,NA
11672562,Solid
14935160,Solid
14355418,Checked
1937040,Solid
1866504,Solid
13722978,Solid
14935172,Printed
16835096,NA
15441318,Solid
11991572,Solid
11688534,NA
15088960,Solid
10964434,Solid
14535906,Solid
8319213,NA
14332140,Colourblocked
14356190,Solid
17085394,NA
13314928,NA
5829328,Solid
14925784,NA
14355334,Printed
13339544,NA
13984230,Solid
11541570,NA
13722948,Solid
14954702,NA
13722974,Solid
14536020,Solid
14954878,NA
15158920,Solid
14094050,NA
11697384,Solid
14925764,NA
2507000,Solid
14925804,NA
11489544,Solid
17085460,NA
15773148,NA
12629360,NA
13687208,Solid
14332200,Solid
15897498,NA
8339487,Solid
11688510,Washed
8963467,NA
11990930,Colourblocked
14954892,NA
14954538,NA
14504146,Solid
13723032,Self Design
17005824,NA
16835218,NA
14356304,Solid
17093664,Solid
14355380,Printed
17093660,Solid
13710568,NA
16835166,NA
15441212,Printed
16961412,Solid
13756932,NA
14331250,Solid
14355398,Solid
13700180,Solid
8801173,NA
15802502,Solid
16836192,Washed
14536052,Solid
14535784,Solid
16836260,Solid
14535994,Solid
15773238,NA
17005816,NA
11296068,Solid
14954872,NA
15441272,Solid
14331508,Self Design
16836264,Solid
5447314,Self Design
16961230,Self Design
15441144,Solid
16961332,Solid
10575458,Solid
14954482,Solid
13756790,Solid
13984114,Self Design
15773476,NA
14331498,Ribbed
13339510,Solid
15773362,NA
13756834,NA
17723956,Solid
1866509,Self Design
15158394,Solid
13339506,Solid
17074032,Striped
15773240,NA
15158648,Solid
17220628,NA
17220632,NA
16902554,Solid
15158940,Solid
13314982,NA
15088956,Solid
11396716,Solid
14850480,Solid
16836252,Solid
16961272,Solid
11688404,NA
19047410,Solid
15773366,Solid
16187090,NA
15089148,Solid
17640614,NA
13334424,Solid
11990962,Striped
8330207,Solid
15441240,Solid
15441242,Solid
16961262,Self Design
16836258,Solid
14935566,Solid
16836222,Solid
14536056,Solid
14355346,Solid
11396694,Solid
14356150,Striped
14535826,Solid
14935934,Solid
13339842,Solid
14356188,Solid
14355452,Solid
11396690,Solid
11990456,Solid
14356200,Solid
14935492,Solid
